PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
5,32.5955228,129.295007,0,-146.989,-257.755,1,4929,33,99
6,32.5955033,129.2950147,0,-152.989,-255.767,1,4929,33,99
8,32.5955223,129.2950079,0,-147.15,-257.516,1,4929,33,99
9,32.5955692,129.2952667,0,-132.708,-190.341,1,4929,33,99
10,32.5956379,129.2950336,4.702,-111.541,-250.847,1,4929,33,99
11,32.5956379,129.2950375,4.702,-111.541,-249.847,1,4929,33,99
12,32.5956379,129.2950336,4.702,-111.541,-250.847,1,4929,33,99
13,32.5956379,129.2950375,4.702,-111.541,-249.847,1,4929,33,99
14,32.5956379,129.2950336,4.702,-111.541,-250.847,1,4929,33,99
15,32.5956379,129.2950375,4.702,-111.541,-249.847,1,4929,33,99
23,32.595561,129.2952604,0,-135.24,-191.97,1,4929,33,99
24,32.5955616,129.2952642,0,-135.041,-190.99,1,4929,33,99
26,32.5955566,129.2952708,0,-136.577,-189.29,1,4929,33,99
27,32.5955123,129.2950113,0,-150.229,-256.644,1,4929,33,99
28,32.5955239,129.2950047,1.634,-146.642,-258.362,1,4929,33,99
28,32.5955239,129.2950047,1.634,-146.642,-258.362,1,4929,33,99
29,32.5955032,129.2950122,1.634,-153.019,-256.411,1,4929,33,99
30,32.595501,129.2950033,1.634,-153.72,-258.704,1,4929,33,99
34,32.5955223,129.2950073,0,-147.149,-257.673,1,4929,33,99
34,32.5955223,129.2950073,0,-147.149,-257.673,1,4929,33,99
35,32.595572,129.2952749,0,-131.851,-188.214,1,4929,33,99
36,32.5955517,129.295285,0,-138.08,-185.599,1,4929,33,99
38,32.5955034,129.2950147,1.634,-152.983,-255.753,1,4929,33,99
39,32.5955227,129.2949966,1.634,-147.024,-260.447,1,4929,33,99
44,32.5955074,129.295013,0,-151.744,-256.187,1,4929,33,99
45,32.5955517,129.2952832,0,-138.094,-186.068,1,4929,33,99
46,32.5955035,129.2950148,0.817,-152.927,-255.72,1,4929,33,99
47,32.5955716,129.2952749,0,-131.948,-188.214,1,4929,33,99
48,32.5955222,129.2950073,1.338,-147.176,-257.688,1,4929,33,99
49,32.5955603,129.2952567,0,-135.439,-192.95,1,4929,33,99
50,32.5955597,129.2952529,0,-135.638,-193.93,1,4929,33,99
51,32.595559,129.2952491,0,-135.837,-194.91,1,4929,33,99
52,32.5955584,129.2952453,0,-136.036,-195.89,1,4929,33,99
53,32.5955577,129.2952416,0,-136.235,-196.87,1,4929,33,99
54,32.5955571,129.2952378,0,-136.434,-197.85,1,4929,33,99
55,32.5955564,129.295234,0,-136.633,-198.83,1,4929,33,99
56,32.5955558,129.2952302,0,-136.832,-199.81,1,4929,33,99
57,32.5955551,129.2952265,0,-137.031,-200.79,1,4929,33,99
58,32.5955545,129.2952227,0,-137.23,-201.77,1,4929,33,99
59,32.5955538,129.2952189,0,-137.429,-202.75,1,4929,33,99
60,32.5955532,129.2952151,0,-137.628,-203.73,1,4929,33,99
61,32.5955526,129.2952113,0,-137.827,-204.71,1,4929,33,99
62,32.5955519,129.2952076,0,-138.026,-205.69,1,4929,33,99
63,32.5955513,129.2952038,0,-138.225,-206.67,1,4929,33,99
64,32.5955506,129.2952,0,-138.424,-207.65,1,4929,33,99
65,32.59555,129.2951962,0,-138.623,-208.63,1,4929,33,99
66,32.5955493,129.2951925,0,-138.822,-209.61,1,4929,33,99
67,32.5955487,129.2951887,0,-139.021,-210.59,1,4929,33,99
68,32.595548,129.2951849,0,-139.22,-211.57,1,4929,33,99
69,32.5955474,129.2951811,0,-139.419,-212.55,1,4929,33,99
70,32.5955467,129.2951774,0,-139.618,-213.53,1,4929,33,99
71,32.5955461,129.2951736,0,-139.817,-214.51,1,4929,33,99
72,32.5955454,129.2951698,0,-140.016,-215.49,1,4929,33,99
73,32.5955448,129.295166,0,-140.215,-216.47,1,4929,33,99
74,32.5955442,129.2951623,0,-140.414,-217.45,1,4929,33,99
75,32.5955435,129.2951585,0,-140.613,-218.43,1,4929,33,99
76,32.5955429,129.2951547,0,-140.812,-219.41,1,4929,33,99
77,32.5955422,129.2951509,0,-141.011,-220.39,1,4929,33,99
78,32.5955416,129.2951472,0,-141.21,-221.37,1,4929,33,99
79,32.5955409,129.2951434,0,-141.409,-222.35,1,4929,33,99
80,32.5955403,129.2951396,0,-141.608,-223.33,1,4929,33,99
81,32.5955396,129.2951358,0,-141.807,-224.31,1,4929,33,99
82,32.595539,129.2951321,0,-142.006,-225.29,1,4929,33,99
83,32.5955383,129.2951283,0,-142.205,-226.27,1,4929,33,99
84,32.5955377,129.2951245,0,-142.404,-227.25,1,4929,33,99
85,32.5955371,129.2951207,0,-142.603,-228.23,1,4929,33,99
86,32.5955364,129.295117,0,-142.802,-229.21,1,4929,33,99
87,32.5955358,129.2951132,0,-143.001,-230.19,1,4929,33,99
88,32.5955351,129.2951094,0,-143.2,-231.17,1,4929,33,99
89,32.5955345,129.2951056,0,-143.399,-232.15,1,4929,33,99
90,32.5955338,129.2951019,0,-143.598,-233.13,1,4929,33,99
91,32.5955332,129.2950981,0,-143.797,-234.11,1,4929,33,99
92,32.5955325,129.2950943,0,-143.996,-235.09,1,4929,33,99
93,32.5955319,129.2950905,0,-144.195,-236.07,1,4929,33,99
94,32.5955312,129.2950868,0,-144.394,-237.05,1,4929,33,99
95,32.5955306,129.295083,0,-144.593,-238.03,1,4929,33,99
96,32.5955299,129.2950792,0,-144.792,-239.01,1,4929,33,99
97,32.5955293,129.2950754,0,-144.991,-239.99,1,4929,33,99
98,32.5955287,129.2950717,0,-145.19,-240.97,1,4929,33,99
99,32.595528,129.2950679,0,-145.389,-241.95,1,4929,33,99
100,32.5955274,129.2950641,0,-145.588,-242.93,1,4929,33,99
101,32.5955267,129.2950603,0,-145.787,-243.91,1,4929,33,99
102,32.5955261,129.2950566,0,-145.986,-244.89,1,4929,33,99
103,32.5955254,129.2950528,0,-146.185,-245.87,1,4929,33,99
104,32.5955248,129.295049,0,-146.384,-246.85,1,4929,33,99
105,32.5955241,129.2950452,0,-146.583,-247.83,1,4929,33,99
106,32.5955235,129.2950415,0,-146.782,-248.81,1,4929,33,99
107,32.5955228,129.2950377,0,-146.981,-249.79,1,4929,33,99
108,32.5955222,129.2950339,0,-147.18,-250.77,1,4929,33,99
109,32.5955215,129.2950301,0,-147.379,-251.75,1,4929,33,99
110,32.5955209,129.2950264,0,-147.578,-252.73,1,4929,33,99
111,32.5955203,129.2950226,0,-147.777,-253.71,1,4929,33,99
112,32.5955196,129.2950188,0,-147.976,-254.69,1,4929,33,99
113,32.595519,129.295015,0,-148.175,-255.67,1,4929,33,99
114,32.5955183,129.2950113,0,-148.374,-256.65,1,4929,33,99
115,32.5955179,129.2950089,0,-148.498,-257.259,1,4929,33,99
130,32.5955579,129.2952489,0.001,-136.174,-194.972,1,4929,33,99
